vix_threshold,sma_buffer_pct,rsi_gate,cooldown_days,vol_gate,final_balance,total_return_pct,max_drawdown_pct,total_trades,buy_and_hold_pct,win_rate_pct,avg_win,avg_loss,win_loss_ratio,sharpe_ratio,max_consec_losses,avg_hold_days
28,0.97,40,10,0.8,198461,98.4614,27.6258,40,187.856,27.5,17764.1,3342.9,5.31399,0.395847,7,76.425
28,0.97,40,10,1,225802,125.802,24.6655,34,187.856,35.2941,17489.3,3821.37,4.57672,0.469431,5,87
28,0.97,40,10,1.2,197237,97.2366,23.6941,29,187.856,31.0345,18484.5,3456.19,5.34823,0.424156,5,91.5862
28,0.97,45,0,0,232899,132.899,26.0586,48,187.856,31.25,16719.6,3572.55,4.68001,0.461624,8,66.6042
28,0.97,45,0,0.8,222777,122.777,26.2494,44,187.856,27.2727,19239.6,3378.07,5.69544,0.4458,6,71.3409
28,0.97,45,0,1,223683,123.683,23.7369,38,187.856,28.9474,20182.2,3641.54,5.54222,0.463212,6,77.8158
28,0.97,45,0,1.2,187852,87.852,32.5514,34,187.856,29.4118,16420.3,3181.3,5.16151,0.395483,5,78.4706
28,0.97,45,3,0,236280,136.28,24.9904,46,187.856,30.4348,18140.5,3677.74,4.93252,0.468644,8,69.4565
28,0.97,45,3,0.8,225922,125.922,25.187,42,187.856,26.1905,21242.3,3475.6,6.11183,0.452814,6,74.6905
28,0.97,45,3,1,227015,127.015,22.6382,36,187.856,27.7778,22481.3,3761.46,5.97675,0.471092,6,82
28,0.97,45,3,1.2,197153,97.1533,29.2107,31,187.856,29.0323,19050.2,3377.19,5.64083,0.422551,5,85.871
28,0.97,45,5,0,257082,157.082,22.4587,42,187.856,33.3333,18649.3,3714.55,5.0206,0.510574,6,75.7381
28,0.97,45,5,0.8,233033,133.033,24.2641,39,187.856,28.2051,20658.1,3364.5,6.14001,0.469897,5,79.8718
28,0.97,45,5,1,231167,131.167,22.6382,35,187.856,28.5714,22366.1,3699.76,6.04528,0.482498,6,83.8857
28,0.97,45,5,1.2,202558,102.558,29.2107,30,187.856,30,19050.2,3280.62,5.80687,0.437692,5,88.6667
28,0.97,45,10,0,218451,118.451,32.6817,41,187.856,31.7073,16295.4,3335.32,4.88571,0.441406,7,75.6098
28,0.97,45,10,0.8,201745,101.745,30.2421,39,187.856,25.641,19418.5,3187.57,6.09194,0.406935,7,78.1282
28,0.97,45,10,1,194261,94.2612,26.1707,37,187.856,27.027,18810.5,3475.68,5.41202,0.401625,7,77.1622
28,0.97,45,10,1.2,196573,96.5728,24.4997,29,187.856,31.0345,18366.1,3436.12,5.34502,0.427433,5,89.7931
28,0.97,50,0,0,222636,122.636,26.188,45,187.856,28.8889,18415.9,3649.1,5.04671,0.446102,6,69.9556
28,0.97,50,0,0.8,205750,105.75,27.9206,43,187.856,25.5814,19223.4,3303.36,5.81934,0.41402,5,71.7674
28,0.97,50,0,1,191731,91.731,27.5953,38,187.856,26.3158,18563.5,3353.72,5.53521,0.394466,5,75.1053
28,0.97,50,0,1.2,186604,86.6039,25.7058,31,187.856,29.0323,17885.3,3380.16,5.29125,0.398311,5,84.0645
28,0.97,50,3,0,226210,126.21,24.9942,44,187.856,29.5455,18686.7,3765.05,4.96319,0.454026,6,71.5227
28,0.97,50,3,0.8,209045,109.045,26.7544,42,187.856,26.1905,19503.5,3403.02,5.73123,0.422108,5,73.4524
28,0.97,50,3,1,194849,94.8491,26.4277,37,187.856,27.027,18844.2,3466.39,5.43625,0.403094,5,77.1081
28,0.97,50,3,1.2,189684,89.6835,24.5043,30,187.856,30,18158.8,3511.68,5.17096,0.407604,5,86.8333
28,0.97,50,5,0,239108,139.108,25.3076,42,187.856,30.9524,18734.4,3601.34,5.20206,0.481796,6,74.7143
28,0.97,50,5,0.8,213961,113.961,28.0731,40,187.856,27.5,18970.4,3265.99,5.80848,0.434827,5,76.775
28,0.97,50,5,1,198606,98.606,26.4277,36,187.856,27.7778,18767.9,3425.87,5.47827,0.415014,5,78.9444
28,0.97,50,5,1.2,189684,89.6835,24.5043,30,187.856,30,18158.8,3511.68,5.17096,0.407604,5,86.8333
28,0.97,50,10,0,214292,114.292,32.5666,41,187.856,29.2683,17361.9,3243.12,5.35345,0.43461,7,74.8537
28,0.97,50,10,0.8,200009,100.009,28.4665,38,187.856,26.3158,19080.2,3242.61,5.88423,0.406102,6,79.2632
28,0.97,50,10,1,198161,98.1608,26.5916,34,187.856,29.4118,18171.2,3481.29,5.21967,0.417768,5,82.5294
28,0.97,50,10,1.2,188825,88.8252,26.8237,28,187.856,28.5714,19674.1,3428.4,5.73858,0.413014,7,90.5
28,0.96,0,0,0,231653,131.653,23.7803,50,187.856,28,18577,3567.37,5.20748,0.4548,8,64.72
28,0.96,0,0,0.8,228983,128.983,22.7436,46,187.856,23.913,22425.4,3362.75,6.66876,0.453196,7,69.2391
28,0.96,0,0,1,270535,170.535,19.8785,36,187.856,30.5556,24219.2,3835.05,6.31523,0.545288,4,85.5833
28,0.96,0,0,1.2,215773,115.773,24.4616,33,187.856,27.2727,21816.1,3357.17,6.49837,0.455248,6,85.6667
28,0.96,0,3,0,235991,135.991,22.3622,48,187.856,27.0833,20337.9,3668.61,5.54376,0.463695,8,67.3333
28,0.96,0,3,0.8,233194,133.194,22.7467,44,187.856,22.7273,25069.2,3455.83,7.25417,0.462056,7,72.2955
28,0.96,0,3,1,260657,160.657,20.5149,34,187.856,29.4118,25617.2,3979.76,6.43686,0.528142,4,90.3235
28,0.96,0,3,1.2,196578,96.5778,28.8604,32,187.856,25,22226,3384.6,6.56681,0.410705,5,87.25
28,0.96,0,5,0,245434,145.434,23.6267,45,187.856,28.8889,20017.5,3587.3,5.58011,0.484828,6,71.2222
28,0.96,0,5,0.8,229552,129.552,24.4204,41,187.856,24.3902,23184,3299.6,7.0263,0.457968,6,76.6585
28,0.96,0,5,1,259902,159.902,23.6117,33,187.856,30.303,24826,3841.66,6.4623,0.530539,4,92.2424
28,0.96,0,5,1.2,190083,90.0834,33.0098,33,187.856,24.2424,21063.8,3137.07,6.71447,0.395737,6,83.4242
28,0.96,0,10,0,211798,111.798,33.1293,42,187.856,26.1905,19368.2,3266.21,5.92989,0.424611,7,74.119
28,0.96,0,10,0.8,201770,101.77,29.2935,40,187.856,22.5,22368.1,3211.05,6.96598,0.403455,7,76.8
28,0.96,0,10,1,229631,129.631,25.1711,34,187.856,29.4118,21651.4,3620.14,5.98082,0.477077,5,87.5588
28,0.96,0,10,1.2,193722,93.7222,24.2069,30,187.856,26.6667,21039.2,3390.52,6.20531,0.414399,5,88.9
28,0.96,40,0,0,223557,123.557,26.4525,50,187.856,28,17992.2,3564.82,5.04714,0.43893,8,64.52
28,0.96,40,0,0.8,220922,120.922,24.1926,46,187.856,23.913,21714,3369.49,6.4443,0.437023,7,69.0217
28,0.96,40,0,1,254377,154.377,22.4332,36,187.856,30.5556,22787.1,3851.23,5.91684,0.516862,4,85.0833
